"","FETCH_MAX","FETCH_90","ZL","RH_1_1_1","PPFD_IN_1_1_1"
"337",-9999,-9999,-9999,-9999,-9999
"338",-9999,-9999,-9999,-9999,-9999
"339",-9999,-9999,-9999,-9999,-9999
"340",-9999,-9999,-9999,-9999,-9999
"341",-9999,-9999,-9999,-9999,-9999
"342",-9999,-9999,-9999,-9999,-9999
"343",-9999,-9999,-9999,-9999,-9999
"344",-9999,-9999,-9999,-9999,-9999
"345",-9999,-9999,-9999,-9999,-9999
"346",-9999,-9999,-9999,-9999,-9999
"347",-9999,-9999,-9999,-9999,-9999
"348",-9999,-9999,-9999,-9999,-9999
"349",-9999,-9999,-9999,-9999,-9999
"350",-9999,-9999,-9999,-9999,-9999
"351",-9999,-9999,-9999,-9999,-9999
"352",-9999,-9999,-9999,-9999,-9999
"353",-9999,-9999,-9999,-9999,-9999
"354",-9999,-9999,-9999,-9999,-9999
"355",-9999,-9999,-9999,-9999,-9999
"356",-9999,-9999,-9999,-9999,-9999
"357",-9999,-9999,-9999,-9999,-9999
"358",-9999,-9999,-9999,-9999,-9999
"359",-9999,-9999,-9999,-9999,-9999
"360",-9999,-9999,-9999,-9999,-9999
"361",-9999,-9999,-9999,-9999,-9999
"362",-9999,-9999,-9999,-9999,-9999
"363",-9999,-9999,-9999,-9999,-9999
"364",-9999,-9999,-9999,-9999,-9999
"365",-9999,-9999,-9999,-9999,-9999
"366",-9999,-9999,-9999,-9999,-9999
"367",-9999,-9999,-9999,-9999,-9999
"368",-9999,-9999,-9999,-9999,-9999
"369",-9999,-9999,-9999,-9999,-9999
"370",-9999,-9999,-9999,-9999,-9999
"371",-9999,-9999,-9999,-9999,-9999
"372",-9999,-9999,-9999,-9999,-9999
"373",-9999,-9999,-9999,-9999,-9999
"374",-9999,-9999,-9999,-9999,-9999
"375",-9999,-9999,-9999,-9999,-9999
"376",-9999,-9999,-9999,-9999,-9999
"377",-9999,-9999,-9999,-9999,-9999
"378",-9999,-9999,-9999,-9999,-9999
"379",-9999,-9999,-9999,-9999,-9999
"380",-9999,-9999,-9999,-9999,-9999
"381",-9999,-9999,-9999,-9999,-9999
"382",-9999,-9999,-9999,-9999,-9999
"383",-9999,-9999,-9999,-9999,-9999
"384",-9999,-9999,-9999,-9999,-9999
"385",-9999,-9999,-9999,-9999,-9999
"386",-9999,-9999,-9999,-9999,-9999
"387",-9999,-9999,-9999,-9999,-9999
"388",-9999,-9999,-9999,-9999,-9999
"389",-9999,-9999,-9999,-9999,-9999
"390",-9999,-9999,-9999,-9999,-9999
"391",-9999,-9999,-9999,-9999,-9999
"392",-9999,-9999,-9999,-9999,-9999
"393",-9999,-9999,-9999,-9999,-9999
"394",-9999,-9999,-9999,-9999,-9999
"395",-9999,-9999,-9999,-9999,-9999
"396",-9999,-9999,-9999,-9999,-9999
"397",-9999,-9999,-9999,-9999,-9999
"398",-9999,-9999,-9999,-9999,-9999
"399",-9999,-9999,-9999,-9999,-9999
"400",-9999,-9999,-9999,-9999,-9999
"401",-9999,-9999,-9999,-9999,-9999
"402",-9999,-9999,-9999,-9999,-9999
"403",-9999,-9999,-9999,-9999,-9999
"404",-9999,-9999,-9999,-9999,-9999
"405",-9999,-9999,-9999,-9999,-9999
"406",-9999,-9999,-9999,-9999,-9999
"407",-9999,-9999,-9999,-9999,-9999
"408",-9999,-9999,-9999,-9999,-9999
"409",-9999,-9999,-9999,-9999,-9999
"410",-9999,-9999,-9999,-9999,-9999
"411",-9999,-9999,-9999,-9999,-9999
"412",-9999,-9999,-9999,-9999,-9999
"413",-9999,-9999,-9999,-9999,-9999
"414",-9999,-9999,-9999,-9999,-9999
"415",-9999,-9999,-9999,-9999,-9999
"416",-9999,-9999,-9999,-9999,-9999
"417",-9999,-9999,-9999,-9999,-9999
"418",-9999,-9999,-9999,-9999,-9999
"419",-9999,-9999,-9999,-9999,-9999
"420",-9999,-9999,-9999,-9999,-9999
"421",-9999,-9999,-9999,-9999,-9999
"422",-9999,-9999,-9999,-9999,-9999
"423",-9999,-9999,-9999,-9999,-9999
"424",-9999,-9999,-9999,-9999,-9999
"425",-9999,-9999,-9999,-9999,-9999
"426",-9999,-9999,-9999,-9999,-9999
"427",-9999,-9999,-9999,-9999,-9999
"428",-9999,-9999,-9999,-9999,-9999
"429",-9999,-9999,-9999,-9999,-9999
"430",-9999,-9999,-9999,-9999,-9999
"431",-9999,-9999,-9999,-9999,-9999
"432",-9999,-9999,-9999,-9999,-9999
"433",-9999,-9999,-9999,-9999,-9999
"434",-9999,-9999,-9999,-9999,-9999
"435",-9999,-9999,-9999,-9999,-9999
"436",-9999,-9999,-9999,-9999,-9999
"437",-9999,-9999,-9999,-9999,-9999
"438",-9999,-9999,-9999,-9999,-9999
"439",-9999,-9999,-9999,-9999,-9999
"440",-9999,-9999,-9999,-9999,-9999
"441",-9999,-9999,-9999,-9999,-9999
"442",-9999,-9999,-9999,-9999,-9999
"443",-9999,-9999,-9999,-9999,-9999
"444",-9999,-9999,-9999,-9999,-9999
"445",-9999,-9999,-9999,-9999,-9999
"446",-9999,-9999,-9999,-9999,-9999
"447",-9999,-9999,-9999,-9999,-9999
"448",-9999,-9999,-9999,-9999,-9999
"449",-9999,-9999,-9999,-9999,-9999
"450",-9999,-9999,-9999,-9999,-9999
"451",-9999,-9999,-9999,-9999,-9999
"452",-9999,-9999,-9999,-9999,-9999
"453",-9999,-9999,-9999,-9999,-9999
"454",-9999,-9999,-9999,-9999,-9999
"455",-9999,-9999,-9999,-9999,-9999
"456",-9999,-9999,-9999,-9999,-9999
"457",-9999,-9999,-9999,-9999,-9999
"458",-9999,-9999,-9999,-9999,-9999
"459",-9999,-9999,-9999,-9999,-9999
"460",-9999,-9999,-9999,-9999,-9999
"461",-9999,-9999,-9999,-9999,-9999
"462",-9999,-9999,-9999,-9999,-9999
"463",-9999,-9999,-9999,-9999,-9999
"464",-9999,-9999,-9999,-9999,-9999
"465",-9999,-9999,-9999,-9999,-9999
"466",-9999,-9999,-9999,-9999,-9999
"467",-9999,-9999,-9999,-9999,-9999
"468",-9999,-9999,-9999,-9999,-9999
"469",-9999,-9999,-9999,-9999,-9999
"470",-9999,-9999,-9999,-9999,-9999
"471",-9999,-9999,-9999,-9999,-9999
"472",-9999,-9999,-9999,-9999,-9999
"473",-9999,-9999,-9999,-9999,-9999
"474",-9999,-9999,-9999,-9999,-9999
"475",-9999,-9999,-9999,-9999,-9999
"476",-9999,-9999,-9999,-9999,-9999
"477",-9999,-9999,-9999,-9999,-9999
"478",-9999,-9999,-9999,-9999,-9999
"479",-9999,-9999,-9999,-9999,-9999
"480",-9999,-9999,-9999,-9999,-9999
"481",-9999,-9999,-9999,-9999,-9999
"482",-9999,-9999,-9999,-9999,-9999
"483",-9999,-9999,-9999,-9999,-9999
"484",-9999,-9999,-9999,-9999,-9999
"485",-9999,-9999,-9999,-9999,-9999
"486",-9999,-9999,-9999,-9999,-9999
"487",-9999,-9999,-9999,-9999,-9999
"488",-9999,-9999,-9999,-9999,-9999
"489",-9999,-9999,-9999,-9999,-9999
"490",-9999,-9999,-9999,-9999,-9999
